e_pop_num	e_inc_100k	c_newinc_100k	e_abs_inc	c_abs_inc	e_inc_rr_num	e_inc_rr_num_lo	e_inc_rr_num_hi	composite_rr_pct	composite_rr_pct_hi	composite_rr_pct_lo	composite_rr_sd	composite_rr_var
37171921	189	130	70254.93069	48323.4973	2500	1000	4700	5.17346661496704	9.72611723613804	2.06938664598682	0.0195324759952837	0.000381517618506335
2882740	18	15	518.8932	432.411	14	4	28	3.23766046654687	6.47532093309375	0.925045847584821	0.0141588650140534	0.000200473458486185
42228408	69	56	29137.60152	23647.90848	780	350	1400	3.29838894911014	5.92018529327461	1.48004632331865	0.0113268851274387	0.000128298326690191
55465	0	0	0	0	0	0	0	NA	NA	NA	NA	NA
77006	3	2.6	2.31018	2.002156	0	0	0	0	0	0	0	0
30809787	355	215	109374.74385	66241.04205	3900	1700	7100	5.88758853922649	10.7184304175662	2.56638474786796	0.0207960348716791	0.000432475066384094
14731	22	0	3.24082	0	0	0	1	NA	Inf	NA	NA	NA
96286	6	5.2	5.77716	5.006872	0	0	0	0	0	0	0	0
44361150	27	23	11977.5105	10203.0645	560	360	800	5.48854709288567	7.84078156126524	3.52835170256936	0.0110010965783058	0.000121024125925212
2951745	31	25	915.04095	737.93625	240	160	330	32.5231346203686	44.7193101030069	21.6820897469124	0.0587684192757511	0.00345372710417048
105845	5.4	4.7	5.71563	4.974715	0	0	0	0	0	0	0	0
24898152	6.6	5.8	1643.278032	1444.092816	61	38	89	4.22410521845571	6.16303876135341	2.63140980821831	0.00900925753350791	8.1166721305069e-05
8891388	7.1	5.3	631.288548	471.243564	19	8	34	4.03188530337149	7.21495264813845	1.69763591720905	0.0140747875789015	0.000198099645391201
9949537	63	51	6268.20831	5074.26387	1300	940	1600	25.6194796586327	31.5316672721634	18.524854522396	0.0331806447698147	0.00110095518734063
385637	14	12	53.98918	46.27644	3	0	11	6.48278043859899	23.7701949415296	0	0.0606382524018613	0.00367699765435184
1569446	11	9.8	172.63906	153.805708	9	2	19	5.85153835773117	12.3532476440991	1.30034185727359	0.0281961882316978	0.000795025030797334
161376708	221	166	356642.52468	267885.33528	5900	3200	9600	2.20243485662744	3.58362281756329	1.19454093918776	0.006094596628509	3.71441080642332e-05
286641	0.4	0.35	1.146564	1.0032435	0	0	0	0	0	0	0	0
9452617	31	25	2930.31127	2363.15425	1400	1000	1700	59.2428530638658	71.9377501489799	42.316323617047	0.0755648636018696	0.00571004861116916
11482178	9	8	1033.39602	918.57424	26	12	45	2.83047345198794	4.8988963592099	1.30637236245597	0.00916460203253553	8.39899304147543e-05
383071	30	26	114.9213	99.59846	11	1	36	11.0443474728425	36.145137183848	1.00403158844022	0.0896456775393056	0.00803634750148117
11485044	56	35	6431.62464	4019.7654	100	20	250	2.48770736720108	6.2192684180027	0.497541473440216	0.0145962422055165	0.000213050286522103
62756	3.7	3.2	2.321972	2.008192	0	0	0	0	0	0	0	0
754388	149	119	1124.03812	897.72172	150	100	210	16.7089641097243	23.3925497536141	11.1393094064829	0.0312582661916612	0.000977079205308747
11353142	108	67	12261.39336	7606.60514	350	110	740	4.60126421127731	9.72838718955773	1.44611160925858	0.0211282540313754	0.00044640311841433
3323925	25	20	830.98125	664.785	4	0	11	0.601698293433215	1.65467030694134	0	0.00422109772178914	1.78176659768935e-05
2254068	275	206	6198.687	4643.38008	300	180	450	6.46081076352466	9.69121614528699	3.8764864581148	0.0148334940999291	0.00022003254721263
209469323	45	39	94261.19535	81693.03597	2500	1900	3200	3.06023637182253	3.91710255593283	2.32577964258512	0.00405949722792784	1.64795177435538e-05
29802	3.9	3.4	1.162278	1.013268	0	0	0	0	0	0	0	0
428963	68	59	291.69484	253.08817	0	0	0	0	0	0	0	0
7051608	22	18	1551.35376	1269.28944	36	17	63	2.83623253022573	4.96340692789503	1.33933202816215	0.00924508902993081	8.5471671171347e-05
19751466	48	30	9480.70368	5925.4398	290	160	470	4.89415148559943	7.9319006835577	2.70022150929624	0.0133461203425037	0.000178118928196592
11175374	111	64	12404.66514	7152.23936	370	150	690	5.173204941508	9.64732813416356	2.0972452465573	0.0192604155296078	0.000370963606373158
543767	46	37	250.13282	201.19379	9	4	16	4.47329910132912	7.95253173569622	1.98813293392405	0.0152153030657453	0.000231505447382479
16249792	302	176	49074.37184	28599.63392	1000	460	1900	3.49654825232113	6.64344167941014	1.60841219606772	0.0128444629677103	0.00016498022892888
25216267	186	93	46902.25662	23451.12831	890	430	1500	3.79512656378451	6.39628072547952	1.83360047463746	0.0116394904358216	0.000135477737605582
37074562	5.6	4.8	2076.175472	1779.578976	25	12	44	1.40482666614735	2.47249493241934	0.674316799750729	0.00458718911395054	2.10423039671463e-05
64174	5.4	4.7	3.465396	3.016178	0	0	0	0	0	0	0	0
4666368	540	233	25198.3872	10872.63744	180	100	270	1.6555320729981	2.48329810949716	0.919740040554502	0.00398866854322106	1.59094767476812e-05
15477729	142	84	21978.37518	13001.29236	710	310	1300	5.46099557136641	9.99900597574132	2.38437834806139	0.0194250704787753	0.000377333363105389
18729160	18	16	3371.2488	2996.6656	95	66	130	3.17019022743145	4.33815504806409	2.20244794747869	0.00544823239945254	2.96832362784444e-05
1427647786	61	56	870865.14946	799482.76016	66000	50000	85000	8.25533748680103	10.6318740360316	6.25404355060684	0.0111679349117979	0.000124722770194155
7371730	67	58	4939.0591	4275.6034	85	58	120	1.98802349160823	2.80662139991749	1.35653367662679	0.0036992033757416	1.3684105615098e-05
631636	60	52	378.9816	328.45072	10	3	22	3.04459676629724	6.69811288585393	0.913379029889172	0.0147569741223591	0.000217768285247975
49661048	33	26	16388.14584	12911.87248	580	370	850	4.49198984034576	6.58308855912741	2.86557972573781	0.00948344090150407	8.99356513323203e-05
832322	35	15	291.3127	124.8483	26	2	83	20.8252735519827	66.4806809544063	1.60194411938328	0.165506981721997	0.0273925609987256
5244359	375	204	19666.34625	10698.49236	560	230	1000	5.23438238918367	9.34711140925655	2.14983562412901	0.0183603974110396	0.000337104193091311
17518	0	0	0	0	0	0	0	NA	NA	NA	NA	NA
4999441	10	8	499.9441	399.95528	11	4	21	2.75030748437675	5.25058701562835	1.00011181250064	0.0108430489875707	0.000117571711346858
25069230	142	84	35598.3066	21058.1532	2200	1100	3600	10.4472599240089	17.0955162392873	5.22362996200445	0.030285424176742	0.000917206917565187
4156405	8.4	8.8	349.13802	365.76364	0	0	0	0	0	0	0	0
11338134	7.2	6.3	816.345648	714.302442	39	19	67	5.45987213634641	9.37978033680025	2.65993770745082	0.0171424556871159	0.000293863786984732
162752	6.4	0	10.416128	0	0	0	0	NA	NA	NA	NA	NA
1189265	5.4	4.3	64.22031	51.138395	0	0	0	0	0	0	0	0
10665677	5.4	4.1	575.946558	437.292757	17	7	31	3.88755581423911	7.08907236714191	1.6007582764514	0.0140008012517615	0.000196022435691326
25549604	513	352	131069.46852	89934.60608	5200	2500	8800	5.78197895854952	9.78488746831458	2.77979757622573	0.0178701272757368	0.000319341448851034
84068091	321	202	269858.57211	169817.54382	6000	3000	10000	3.53320385222375	5.88867308703959	1.76660192611188	0.0105154876554278	0.000110575480631455
5752126	5.4	4.7	310.614804	270.349922	7	1	16	2.58923692236168	5.91825582254098	0.369890988908811	0.014153991922531	0.000200335487343074
958923	260	208	2493.1998	1994.55984	120	63	210	6.01636499409313	10.528638739663	3.15859162189889	0.018801140606541	0.000353482888106927
71625	6.4	5.6	4.584	4.011	0	0	0	0	0	0	0	0
10627141	45	36	4782.21345	3825.77076	230	110	380	6.01186047017621	9.93263903768243	2.87523761617123	0.0180035750548755	0.000324128714756536
17084358	44	35	7517.11752	5979.5253	220	89	420	3.67922182719086	7.02396894281892	1.48841246645449	0.014121317541746	0.000199411609114824
98423598	12	8.4	11810.83176	8267.582232	280	200	380	3.38672168165741	4.59626513939221	2.41908691546958	0.00555402608143526	3.08472057132632e-05
6420746	70	56	4494.5222	3595.61776	100	32	210	2.7811632569086	5.84044283950806	0.889972242210752	0.0126287515237176	0.0001594853650478
1308975	201	101	2631.03975	1322.06475	97	52	160	7.33700826680388	12.1022816772023	3.93324154509074	0.0208393880921213	0.000434280096054045
3452786	89	54	3072.97954	1864.50444	66	20	140	3.53981457936351	7.50869759258927	1.07267108465561	0.0164184349692185	0.000269565006838457
